id,start,end,length,remove,change,new name,new start,new end,Explanation
232_Hinkel_Alito_MitchellvWisconsin.mp3,3538.56,3544.56,6,,,,,,
233_Alito_Hinkel_MitchellvWisconsin.mp3,3553.92,3559.92,6,,,,,,
234_Hinkel_Kavanaugh_MitchellvWisconsin.mp3,3585.04,3588.96,3.92,,,,,,
235_Kavanaugh_Breyer_MitchellvWisconsin.mp3,3587.04,3592.96,5.92,,,,,,
236_Breyer_Hinkel_MitchellvWisconsin.mp3,3620.28,3623.4,3.12,,,,,,
237_Hinkel_Breyer_MitchellvWisconsin.mp3,3622.28,3627.4,5.12,,,,,,
238_Breyer_Hinkel_MitchellvWisconsin.mp3,3628.08,3630.84,2.76,,,,,,
239_Hinkel_Breyer_MitchellvWisconsin.mp3,3630.08,3633.96,3.88,,1,,,3632.96,remove second turn change
240_Breyer_Hinkel_MitchellvWisconsin.mp3,3631.96,3637.96,6,,,,,,
241_Hinkel_Breyer_MitchellvWisconsin.mp3,3638.76,3644.76,6,,,,,,
242_Breyer_Hinkel_MitchellvWisconsin.mp3,3648.08,3650.68,2.6,,,,,,
243_Hinkel_Roberts_MitchellvWisconsin.mp3,3650.08,3651.08,1,,,,,,
244_Roberts_Hinkel_MitchellvWisconsin.mp3,3650.68,3655.08,4.4,,,,,,
245_Hinkel_Breyer_MitchellvWisconsin.mp3,3659.68,3665.68,6,1,,,,,formal turn change
246_Breyer_Roberts_MitchellvWisconsin.mp3,3661.68,3665.92,4.24,1,,,,,formal turn change
